;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 12/6/2010 11:21:07 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF007EF48  	GOTO        3728
0x0004	0x0000      	NOP
0x0006	0x0000      	NOP
0x0008	0xF000EF00  	GOTO        0
0x000C	0x0000      	NOP
0x000E	0x0000      	NOP
0x0010	0x0000      	NOP
0x0012	0x0000      	NOP
0x0014	0x0000      	NOP
0x0016	0x0000      	NOP
0x0018	0xD7F3      	BRA         0
_printChar:
;pov++.c,463 :: 		void printChar(char letter){
;pov++.c,465 :: 		digit_counter++;
0x001C	0x4A15      	INFSNZ      _digit_counter, 1 
0x001E	0x2A16      	INCF        _digit_counter+1, 1 
;pov++.c,466 :: 		for(n=0;n<8;n++){
0x0020	0x6A01      	CLRF        R1 
0x0022	0x6A02      	CLRF        R2 
L_printChar71:
0x0024	0x0E80      	MOVLW       128
0x0026	0x1802      	XORWF       R2, 0 
0x0028	0x6E00      	MOVWF       R0 
0x002A	0x0E80      	MOVLW       128
0x002C	0x5C00      	SUBWF       R0, 0 
0x002E	0xE102      	BNZ         L__printChar290
0x0030	0x0E08      	MOVLW       8
0x0032	0x5C01      	SUBWF       R1, 0 
L__printChar290:
0x0034	0xB0D8      	BTFSC       STATUS, 0 
0x0036	0xF006EF49  	GOTO        L_printChar72
;pov++.c,468 :: 		if(letter == 'A') PORTA = letter_A[n];
0x003A	0x501D      	MOVF        FARG_printChar_letter, 0 
0x003C	0x0A41      	XORLW       65
0x003E	0xE111      	BNZ         L_printChar74
0x0040	0x0EFB      	MOVLW       _letter_A
0x0042	0x2401      	ADDWF       R1, 0 
0x0044	0x6EF6      	MOVWF       4086 
0x0046	0x0E16      	MOVLW       hi_addr(_letter_A)
0x0048	0x2002      	ADDWFC      R2, 0 
0x004A	0x6EF7      	MOVWF       TBLPTRH 
0x004C	0x0E00      	MOVLW       higher_addr(_letter_A)
0x004E	0x6EF8      	MOVWF       TBLPTRU 
0x0050	0x0E00      	MOVLW       0
0x0052	0xBE02      	BTFSC       R2, 7 
0x0054	0x0EFF      	MOVLW       255
0x0056	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0058	0x0009      	TBLRD*+
0x005A	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x005E	0xF006EF22  	GOTO        L_printChar75
L_printChar74:
;pov++.c,469 :: 		else if(letter == 'B') PORTA = letter_B[n];
0x0062	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0064	0x0A42      	XORLW       66
0x0066	0xE111      	BNZ         L_printChar76
0x0068	0x0E03      	MOVLW       _letter_B
0x006A	0x2401      	ADDWF       R1, 0 
0x006C	0x6EF6      	MOVWF       4086 
0x006E	0x0E17      	MOVLW       hi_addr(_letter_B)
0x0070	0x2002      	ADDWFC      R2, 0 
0x0072	0x6EF7      	MOVWF       TBLPTRH 
0x0074	0x0E00      	MOVLW       higher_addr(_letter_B)
0x0076	0x6EF8      	MOVWF       TBLPTRU 
0x0078	0x0E00      	MOVLW       0
0x007A	0xBE02      	BTFSC       R2, 7 
0x007C	0x0EFF      	MOVLW       255
0x007E	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0080	0x0009      	TBLRD*+
0x0082	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0086	0xF006EF22  	GOTO        L_printChar77
L_printChar76:
;pov++.c,470 :: 		else if(letter == 'C') PORTA = letter_C[n];
0x008A	0x501D      	MOVF        FARG_printChar_letter, 0 
0x008C	0x0A43      	XORLW       67
0x008E	0xE111      	BNZ         L_printChar78
0x0090	0x0EF3      	MOVLW       _letter_C
0x0092	0x2401      	ADDWF       R1, 0 
0x0094	0x6EF6      	MOVWF       4086 
0x0096	0x0E16      	MOVLW       hi_addr(_letter_C)
0x0098	0x2002      	ADDWFC      R2, 0 
0x009A	0x6EF7      	MOVWF       TBLPTRH 
0x009C	0x0E00      	MOVLW       higher_addr(_letter_C)
0x009E	0x6EF8      	MOVWF       TBLPTRU 
0x00A0	0x0E00      	MOVLW       0
0x00A2	0xBE02      	BTFSC       R2, 7 
0x00A4	0x0EFF      	MOVLW       255
0x00A6	0x22F8      	ADDWFC      TBLPTRU, 1 
0x00A8	0x0009      	TBLRD*+
0x00AA	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x00AE	0xF006EF22  	GOTO        L_printChar79
L_printChar78:
;pov++.c,471 :: 		else if(letter == 'D') PORTA = letter_D[n];
0x00B2	0x501D      	MOVF        FARG_printChar_letter, 0 
0x00B4	0x0A44      	XORLW       68
0x00B6	0xE111      	BNZ         L_printChar80
0x00B8	0x0EE3      	MOVLW       _letter_D
0x00BA	0x2401      	ADDWF       R1, 0 
0x00BC	0x6EF6      	MOVWF       4086 
0x00BE	0x0E16      	MOVLW       hi_addr(_letter_D)
0x00C0	0x2002      	ADDWFC      R2, 0 
0x00C2	0x6EF7      	MOVWF       TBLPTRH 
0x00C4	0x0E00      	MOVLW       higher_addr(_letter_D)
0x00C6	0x6EF8      	MOVWF       TBLPTRU 
0x00C8	0x0E00      	MOVLW       0
0x00CA	0xBE02      	BTFSC       R2, 7 
0x00CC	0x0EFF      	MOVLW       255
0x00CE	0x22F8      	ADDWFC      TBLPTRU, 1 
0x00D0	0x0009      	TBLRD*+
0x00D2	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x00D6	0xF006EF22  	GOTO        L_printChar81
L_printChar80:
;pov++.c,472 :: 		else if(letter == 'E') PORTA = letter_E[n];
0x00DA	0x501D      	MOVF        FARG_printChar_letter, 0 
0x00DC	0x0A45      	XORLW       69
0x00DE	0xE111      	BNZ         L_printChar82
0x00E0	0x0EEB      	MOVLW       _letter_E
0x00E2	0x2401      	ADDWF       R1, 0 
0x00E4	0x6EF6      	MOVWF       4086 
0x00E6	0x0E16      	MOVLW       hi_addr(_letter_E)
0x00E8	0x2002      	ADDWFC      R2, 0 
0x00EA	0x6EF7      	MOVWF       TBLPTRH 
0x00EC	0x0E00      	MOVLW       higher_addr(_letter_E)
0x00EE	0x6EF8      	MOVWF       TBLPTRU 
0x00F0	0x0E00      	MOVLW       0
0x00F2	0xBE02      	BTFSC       R2, 7 
0x00F4	0x0EFF      	MOVLW       255
0x00F6	0x22F8      	ADDWFC      TBLPTRU, 1 
0x00F8	0x0009      	TBLRD*+
0x00FA	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x00FE	0xF006EF22  	GOTO        L_printChar83
L_printChar82:
;pov++.c,473 :: 		else if(letter == 'F') PORTA = letter_F[n];
0x0102	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0104	0x0A46      	XORLW       70
0x0106	0xE111      	BNZ         L_printChar84
0x0108	0x0E23      	MOVLW       _letter_F
0x010A	0x2401      	ADDWF       R1, 0 
0x010C	0x6EF6      	MOVWF       4086 
0x010E	0x0E17      	MOVLW       hi_addr(_letter_F)
0x0110	0x2002      	ADDWFC      R2, 0 
0x0112	0x6EF7      	MOVWF       TBLPTRH 
0x0114	0x0E00      	MOVLW       higher_addr(_letter_F)
0x0116	0x6EF8      	MOVWF       TBLPTRU 
0x0118	0x0E00      	MOVLW       0
0x011A	0xBE02      	BTFSC       R2, 7 
0x011C	0x0EFF      	MOVLW       255
0x011E	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0120	0x0009      	TBLRD*+
0x0122	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0126	0xF006EF22  	GOTO        L_printChar85
L_printChar84:
;pov++.c,474 :: 		else if(letter == 'G') PORTA = letter_G[n];
0x012A	0x501D      	MOVF        FARG_printChar_letter, 0 
0x012C	0x0A47      	XORLW       71
0x012E	0xE111      	BNZ         L_printChar86
0x0130	0x0E2B      	MOVLW       _letter_G
